algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves
baseline,split,4096,3,15.625313599000037,3.137313148999965,2.7761284729999716,6.593460741999934,1.4838246434818092,1.6539991294710623,2799585280,19900160280,0.22803569438687085,-0.5022255239733178,20315,20315,0
baseline,split,4096,4,15.62444320900022,3.1521457930002725,2.7925803400003133,6.6521736219997365,1.4955984052302953,1.6539991294710623,2799585280,19900160280,0.22714865378952806,-0.4968708184983105,20315,20315,0
baseline,split,4096,5,15.713005932000002,3.135982736999992,2.7701409999999953,6.624861762000009,1.4825396360602814,1.6539991294710623,2799585280,19900160280,0.22489687832830724,-0.5004801624902576,20315,20315,0
combined,natural,4096,1,18.68013420399984,0.5397404739999274,0.3006998409998687,,1.404410113309641,1.8895403639384596,2820190208,42858200,0.1868514865964035,,20315,21330,2539
combined,natural,4096,2,14.24842307400013,0.7079176520001056,0.4151162680000198,,1.4063564144455174,1.8895403639384596,2820190208,42858200,0.186840848506082,,20315,21330,2539
combined,natural,4096,3,14.081659839000167,0.7454010129999915,0.45302809200029515,,1.4030003922335976,1.8895403639384596,2820190208,42858200,0.18604913379041127,,20315,21330,2539
combined,natural,4096,4,13.969065923000016,0.691248609000013,0.43909634599958736,,1.4038888080658263,1.8895403639384596,2820190208,42858200,0.18512793294013918,,20315,21330,2539
combined,natural,4096,5,13.940967486000318,0.5361569179999606,0.3019839129997308,,1.4108692412408759,1.8895403639384596,2820190208,42858200,0.18881627187268898,,20315,21330,2539
combined,split,4096,1,14.236037487999965,0.8234507859999667,0.42596098700005314,4.926457561999996,1.4024509705239039,1.8895403639384596,2820190208,42858200,0.18455706868866598,-0.9999499029592994,20315,21330,2539
combined,split,4096,2,13.876478424000197,0.5104897230003189,0.29624378999960754,4.927775238000322,1.4105616782377401,1.8895403639384596,2820190208,42858200,0.1857428746776646,-0.9999997689850922,20315,21330,2539
combined,split,4096,3,14.039449938999951,0.586550994999925,0.306822672999715,5.045629156999894,1.4202857692458646,1.8895403639384596,2820190208,42858200,0.18627781528515833,-0.9999997580814217,20315,21330,2539
combined,split,4096,4,14.331379981999817,0.7955050170003233,0.46498877699968943,5.1195373959999415,1.4069464625443886,1.8895403639384596,2820190208,42858200,0.1844523835672388,-0.9999832771702005,20315,21330,2539
combined,split,4096,5,14.193031889000011,0.744287247999992,0.3879621599999865,5.1015225050000055,1.4116186640896455,1.8895403639384596,2820190208,42858200,0.1851408271312398,-0.9999882519127007,20315,21330,2539
sparse,natural,4096,1,14.302989258000025,0.7050460030000067,0.3916302009999981,,1.4950945750862146,1.6539991294710623,2799585280,40708528,0.22681871629236028,,20315,20315,0
sparse,natural,4096,2,14.212076618000083,0.649116936000155,0.3465751280000404,,1.4890494909884646,1.6539991294710623,2799585280,40708528,0.22766354701681574,,20315,20315,0
sparse,natural,4096,3,14.03091179699959,0.5806415419997393,0.3037244930005727,,1.4758886293778413,1.6539991294710623,2799585280,40708528,0.2290448758083918,,20315,20315,0
sparse,natural,4096,4,14.25129777400025,0.6277333330003785,0.3284107250001398,,1.4786171952761848,1.6539991294710623,2799585280,40708528,0.22875435455465715,,20315,20315,0
