algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,task_count,task_signature,active_workers,compute_max_seconds,compute_mean_seconds,task_cross_node_faces_before,task_cross_node_faces_after,task_cross_node_faces_limit,task_moved_between_nodes,task_completion_wait_max_seconds,task_dispatch_max_seconds,task_geometry_setup_max_seconds,task_merge_max_seconds,metis_partition_max_seconds,task_control_receive_bytes
sparse,natural,4096,41,1,33.92296360399996,0.37808547599979647,0.3069855810003901,,1.2965564151270212,1.8439787003630983,3718962176,53020576,,,0,0,0,16384,4af0a68226382bca,4095,27.84244803699994,21.474150844621956,25319,25319,27850,0,20.881238194999696,1.281380270000227,0.49945169400007217,0.021109482999690954,2.9997831600003337,1342914508
sparse,natural,4096,41,2,33.85057776100001,0.3429503840000052,0.3071861279998984,,1.2947397783748948,1.8439787003630983,3718962176,53020576,,,0,0,0,16384,4af0a68226382bca,4095,27.812462667000148,21.481121636588032,25319,25319,27850,0,20.604132417000017,1.1927111199999558,0.4987144300000068,0.010631224000007933,3.085308929000007,1342914508
sparse,natural,4096,41,3,33.64151898,0.33654989599995133,0.30359270000030847,,1.2843465034927246,1.8439787003630983,3718962176,53020576,,,0,0,0,16384,4af0a68226382bca,4095,27.584022211000047,21.477087480665453,25319,25319,27850,0,20.526242181000043,1.2346155640000234,0.5140134050000142,0.01174181999999746,3.024894472999904,1342914508
sparse,natural,4096,41,4,34.22267108400001,0.4437067520000255,0.3109890309999628,,1.2983193565537854,1.8439787003630983,3718962176,53020576,,,0,0,0,16384,4af0a68226382bca,4095,27.882395533000363,21.475760483930888,25319,25319,27850,0,21.56288890099995,1.2153981110000132,0.49459317499986355,0.011049423000031311,3.0516914659999657,1342914508
sparse,natural,4096,41,5,33.712951559999965,0.33312506399988706,0.29891801699977805,,1.286341373707561,1.8439787003630983,3718962176,53020576,,,0,0,0,16384,4af0a68226382bca,4095,27.625590732000546,21.476095923414643,25319,25319,27850,0,21.16548400900001,1.3390765900003316,0.515233033000186,0.016561226000249007,3.0520363429995996,1342914508
sparse,split,4096,41,1,34.03526461999999,0.3422196070000041,0.30083716800001525,1.7152146169999867,1.2983028279259765,1.8439787003630983,3718962176,53020576,,-0.30034272409333046,0,0,0,16384,4af0a68226382bca,4095,27.891323146999895,21.48291026335971,25319,25319,27850,0,21.074580884,1.1818510719999722,0.5206035439999823,0.011166352999993023,3.061064060999996,1342914508
sparse,split,4096,41,2,33.946233131999975,0.3396396050000021,0.2996395920000623,1.7178485939999746,1.2964147567618312,1.8439787003630983,3718962176,53020576,,-0.3049404516897519,0,0,0,16384,4af0a68226382bca,4095,27.84713863899981,21.480115444347494,25319,25319,27850,0,21.269856002999973,1.2284882320001316,0.5156295709999767,0.01173046900009922,3.0698557730000857,1342914508
sparse,split,4096,41,3,34.060228397999936,0.3396889739999551,0.2984225199998036,1.7209997550000935,1.301876007279905,1.8439787003630983,3718962176,53020576,,-0.3059936010109372,0,0,0,16384,4af0a68226382bca,4095,27.964547489000324,21.4801926854989,25319,25319,27850,0,21.493799506000187,1.2997082789997876,0.49899561500001255,0.010640479000130654,3.0582986849999543,1342914508
sparse,split,4096,41,4,33.951963788000285,0.3367931119996683,0.29654914600041593,1.7116776139996546,1.2980644133546295,1.8439787003630983,3718962176,53020576,,-0.30640907336327466,0,0,0,16384,4af0a68226382bca,4095,27.8831855479998,21.480586988699883,25319,25319,27850,0,20.814989620000233,1.3212619720002294,0.5067790179996337,0.012101501999950415,3.042103076999865,1342914508
sparse,split,4096,41,5,34.01102040700016,0.37008950300014476,0.3025833959995907,1.7011963379995905,1.2885768337063246,1.8439787003630983,3718962176,53020576,,-0.30426459918516296,0,0,0,16384,4af0a68226382bca,4095,27.669404226000097,21.472840037341648,25319,25319,27850,0,21.02698456400003,1.3980191760001617,0.4866090539999277,0.010498819000076764,2.996606755999892,1342914508
