algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
baseline,natural,2048,4,15.7826671910002,1.7879355600002782,1.5176847930001713,,1.3079689991894903,1.55136143553302,2552900608,9947650328,0.42678971732767185,,14861,14861,0,10.669759436999357,8.157501778414543,,1.415183438999975,4.875778330999765,10.670820652000202,,0,0,0,0,0,0,0,0,0,0,0,2.1338454810002077,0.3894912179998755,0.032880730999750085,0.03727456999968126,,9.00105466199966,,2.1615164509998976,,0.09302259900005083,
baseline,natural,2048,5,15.625384268999824,1.7681230060002235,1.4944632090000596,,1.291646406382766,1.55136143553302,2552900608,9947650328,0.4295671199975984,,14861,14861,0,10.537745888000245,8.158382848376457,,1.406119604000196,4.802445412999987,10.538595380999595,,0,0,0,0,0,0,0,0,0,0,0,2.109214606000023,0.38628602100015996,0.03264246299977458,0.03676335599993763,,8.874468889999662,,2.1544176469997183,,0.08513608200019007,
baseline,split,2048,1,15.907443206000153,1.7917769420000695,1.5027263970000604,4.865687353999874,1.2879351278783193,1.55136143553302,2552900608,9947650328,0.4287219093964795,-0.8043922183527845,14861,14861,0,10.506641768000463,8.15774144254345,2.5656038122026446,1.439600201000303,4.865454768999825,10.5075096999999,-0.5720259379334522,0,0,0,0,0,0,0,0,0,0,0,2.0957236639997063,0.38664434800011804,0.03218340400007946,0.0543407949999164,,8.836292793000212,,2.1514036120001947,,0.08732866699983788,
baseline,split,2048,2,15.722072812000079,1.7918387180002355,1.4986348540001018,4.770102253000005,1.295515691527926,1.55136143553302,2552900608,9947650328,0.42547109658598853,-0.8027357505514789,14861,14861,0,10.570956905999083,8.159651770432621,2.447128470281251,1.4396890699999858,4.76984000199991,10.571782316999816,-0.575911419656128,0,0,0,0,0,0,0,0,0,0,0,2.099746488999699,0.3875312979998853,0.03219390399999611,0.037573541999790905,,8.888046048999968,,2.1451414050002313,,0.09431772300013108,
baseline,split,2048,3,15.825445026000125,1.782830740999998,1.4929783849997875,4.988714383000115,1.2850790906511025,1.55136143553302,2552900608,9947650328,0.42597417303690865,-0.8043317864232116,14861,14861,0,10.484077618000356,8.158313129729983,2.5913326820590834,1.4278735070001858,4.988566769000499,10.485094173000107,-0.5719354464233464,0,0,0,0,0,0,0,0,0,0,0,2.0951853579999806,0.3830418060001648,0.031327774000146746,0.038955087999966054,,8.88638013300033,,2.0981290310000986,,0.0992246549999436,
baseline,split,2048,4,15.913339207000263,1.8188653610000074,1.5249588970000332,4.892750248000084,1.2921070173455769,1.55136143553302,2552900608,9947650328,0.4267761427492927,-0.7979247302026191,14861,14861,0,10.542822814000374,8.159403727764658,2.5035908177324293,1.4596033369994075,4.892651855999702,10.543767546999788,-0.5814442471977078,0,0,0,0,0,0,0,0,0,0,0,2.1101302669999313,0.38846450700020796,0.03339275700000144,0.03826914499995837,,8.860492439000154,,2.13924119999956,,0.09701808199997686,
baseline,split,2048,5,15.738182640000105,1.7761890599999788,1.4843512920001558,4.842545043999962,1.2857229080497563,1.55136143553302,2552900608,9947650328,0.4262748210895791,-0.8071206455870289,14861,14861,0,10.488906446000328,8.157983637322278,2.51588878671533,1.4171743919996516,4.842392366999775,10.49002728000005,-0.571527882341178,0,0,0,0,0,0,0,0,0,0,0,2.1054359219997423,0.3896425980001368,0.03152815100020234,0.03810686699989674,,8.816398875999766,,2.1478898520003895,,0.09068971099941336,
sparse,natural,2048,1,14.90908753399981,0.4511348559999533,0.24474233000046297,,1.2879252153240277,1.55136143553302,2552900608,28109144,0.42570490999576543,,14861,14861,0,10.468152466999527,8.127919495982425,,0.006891763000112405,4.2050177969995275,10.468812353999965,,0,0,0,0,0,0,0,0,0,0,0,2.1105068400001983,0.38975968400018246,0.03216820399984499,0.022021191000021645,,8.800380612000026,,2.219242633000249,,0.08358797699975185,
sparse,natural,2048,2,14.936940262000007,0.4639928609999515,0.24175940800023454,,1.2816897619997973,1.55136143553302,2552900608,28109144,0.42692961297633375,,14861,14861,0,10.418425184999705,8.12866381076808,,0.0015543360000265238,4.206114369000261,10.419132115000139,,0,0,0,0,0,0,0,0,0,0,0,2.1952064969996172,0.39353462500002934,0.03138125500026945,0.02381363099993905,,8.761626571999841,,2.142908710000029,,0.06766769700016084,
sparse,natural,2048,3,15.243457290000151,0.5049111409998659,0.24458609300017997,,1.2967180889473515,1.55136143553302,2552900608,28109144,0.42617674741461387,,14861,14861,0,10.540846170999885,8.128864909686516,,0.026771507000376005,4.290964520000216,10.541557859000022,,0,0,0,0,0,0,0,0,0,0,0,2.1164439780000066,0.38545523400034654,0.03163047699990784,0.023430800999904022,,8.876415312000063,,2.1389178790000187,,0.07244180600036998,
