algorithm,timing,ranks,repeat,stage,mean_seconds,max_seconds,calls_sum
baseline,split,1024,1,metis_partition,1.7143353279482474,1.749888976999955,1024
baseline,split,1024,1,metis_seed,0.0012333495429688313,1.2629499320000832,1
baseline,split,1024,1,part_face_create,0.023688949635735312,0.03897346399980961,1024
baseline,split,1024,1,partition_cost_balance,3.16181025388218e-05,0.032376936999753525,1
baseline,split,1024,1,partition_cost_setup,0.0003803635908199432,0.38949231699962183,1
baseline,split,1024,1,partition_distribution,0.02808665946191713,0.06350611000016215,1024
baseline,split,1024,1,partition_pre_collective_wait,1.6844416605136687,1.6863867520000895,1024
baseline,split,1024,1,submesh_initialization,0.0001316638730428643,0.00035166499992556055,1024
baseline,split,1024,1,surface_refine,0.010228237355466518,0.013133416000073339,1024
baseline,split,1024,1,vertex_count_allgather,0.0018055410683608386,0.004174912000053155,1024
baseline,split,1024,1,vertex_count_pre_collective_wait,3.800848402820309,7.386732189999748,1024
baseline,split,1024,1,vertex_exchange,0.019056537744144286,0.035911841000142886,1024
baseline,split,1024,1,vertex_exchange_prepare,0.00034818077539933157,0.001190915999814024,1024
baseline,split,1024,1,vertex_exchange_unpack,0.009691286423827883,0.03004227500014167,1024
baseline,split,1024,1,vertex_numbering_local,0.05920893045508402,0.1140554109997538,1024
baseline,split,1024,1,volume_exchange_pack,0.9511850264921891,1.55657387500014,1024
baseline,split,1024,1,volume_exchange_unpack,1.0086991541503956,1.82190656199964,1024
baseline,split,1024,1,volume_payload_exchange,0.05212499652147695,0.08709054599967203,1024
baseline,split,1024,1,volume_payload_prepare,0.006094883573246612,0.014450622999902407,1024
baseline,split,1024,1,volume_refine,3.023624543808594,4.081771285999821,1024
baseline,split,1024,1,volume_size_exchange,0.0015993652236345746,0.00415661299985004,1024
baseline,split,1024,1,volume_size_exchange_pre_collective_wait,0.6262860002441548,1.0248395469998286,1024
baseline,split,1024,2,adjacency_build,0.00903864196485138,0.02927874500028338,1024
baseline,split,1024,2,element_count_allgather,0.0003753280361280531,0.0005237259997556976,1024
baseline,split,1024,2,element_count_pre_collective_wait,0.012781884747074201,0.014482321000286902,1024
baseline,split,1024,2,face_allgatherv,0.4080772494726497,0.7148513530000855,1024
baseline,split,1024,2,face_collective_setup,0.0001726016425731558,0.0007862289999138738,1024
baseline,split,1024,2,face_global_merge,0.08869783047069246,0.1294587729998966,1024
baseline,split,1024,2,face_local_extract,0.1750418525595805,0.23021676600001229,1024
baseline,split,1024,2,face_map_setup,0.008252651334954564,0.010090766999837797,1024
baseline,split,1024,2,face_pipeline_total,0.7416890379541061,1.063820530999692,1024
baseline,split,1024,2,face_pre_collective_wait,0.05603895789843749,0.225066460999642,1024
baseline,split,1024,2,local_volume_mesh,7.610118539138677,11.126336554999853,1024
baseline,split,1024,2,metis_partition,1.6922302051328098,1.6926255609996588,1024
baseline,split,1024,2,metis_seed,0.0012227647832032673,1.2521111380001457,1
baseline,split,1024,2,part_face_create,0.023671343856450644,0.036972028000036516,1024
baseline,split,1024,2,partition_cost_balance,3.017843652353136e-05,0.030902719000096113,1
baseline,split,1024,2,partition_cost_setup,0.0003742951376950465,0.38327822099972764,1
baseline,split,1024,2,partition_distribution,0.02433364272363514,0.024717018000046664,1024
baseline,split,1024,2,partition_pre_collective_wait,1.6661166374511662,1.6767418029999135,1024
baseline,split,1024,2,submesh_initialization,0.00013319293066826887,0.0010658129999683297,1024
baseline,split,1024,2,surface_refine,0.01029952830665204,0.02422627999976612,1024
baseline,split,1024,2,vertex_count_allgather,0.022260577235359236,0.022414118999677157,1024
baseline,split,1024,2,vertex_count_pre_collective_wait,3.9575873543320235,7.455364963000193,1024
baseline,split,1024,2,vertex_exchange,0.019041150388658057,0.037971224000102666,1024
baseline,split,1024,2,vertex_exchange_prepare,0.0003524557656229277,0.0042516299999988405,1024
baseline,split,1024,2,vertex_exchange_unpack,0.00968344323535586,0.028924585999902774,1024
baseline,split,1024,2,vertex_numbering_local,0.05899529418065441,0.1233853110002201,1024
baseline,split,1024,2,volume_exchange_pack,0.9564920695742112,1.5446631009999692,1024
baseline,split,1024,2,volume_exchange_unpack,1.0074599504667994,1.7969587669999783,1024
baseline,split,1024,2,volume_payload_exchange,0.05186072385840168,0.08793806800031234,1024
baseline,split,1024,2,volume_payload_prepare,0.006361104590828948,0.014701316999889968,1024
baseline,split,1024,2,volume_refine,3.0173816799521576,4.1118482729998505,1024
